,precision,recall,f1-score,support
blues,0.2857142857142857,0.19047619047619047,0.22857142857142856,21.0
classical,0.5454545454545454,1.0,0.7058823529411765,12.0
country,0.29411764705882354,0.20833333333333334,0.24390243902439024,24.0
disco,0.4166666666666667,0.22727272727272727,0.29411764705882354,22.0
hiphop,0.4782608695652174,0.7333333333333333,0.5789473684210527,15.0
jazz,0.56,0.5185185185185185,0.5384615384615384,27.0
metal,0.5769230769230769,0.8333333333333334,0.6818181818181818,18.0
pop,0.6086956521739131,0.7368421052631579,0.6666666666666666,19.0
reggae,0.5294117647058824,0.4090909090909091,0.46153846153846156,22.0
rock,0.14285714285714285,0.15,0.14634146341463414,20.0
accuracy,0.46,0.46,0.46,0.46
macro avg,0.4438101651119554,0.5007200450621504,0.45462475479163544,200.0
weighted avg,0.4375944612080162,0.46,0.43418788216741855,200.0
